SHAP — HURRAH | tabpfn | preprocess: -1 | seed: 123
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.963484       0.148841
SESSO                                     0.151809       0.037870
CLORTALIDONE                              0.141794       0.061869
RESINE                                    0.124716       0.062822
AZOTEMIA                                  0.115749       0.054002
FUMO_ATT                                  0.083918       0.027860
INDAPAMIDE                                0.078180       0.013310
HT                                        0.071970       0.019054
ALCOOL                                    0.063683       0.011287
INS_CARD                                  0.044221       0.017224
IMT                                       0.043166       0.030059
EXFUMO                                    0.040701       0.018294
HCTZ                                      0.040218       0.015461
PLACCA                                    0.038512       0.018979
NF_FA                                     0.037503       0.016959
STATINA                                   0.035614       0.008936
CREATININA                                0.029586       0.005939
FC                                        0.028789       0.022326
SARTANI                                   0.025581       0.015700
CAA_DIID                                  0.024317       0.009534
DIABETE                                   0.023149       0.012873
OMEGA_3                                   0.020050       0.005661
URICEMIA                                  0.019486       0.006479
BETABLOCCANTI                             0.018820       0.005924
EZETEMIBE                                 0.018502       0.002297
GOTTA                                     0.018486       0.003139
ALTEZZA                                   0.017515       0.006672
DELL_ANSA                                 0.015953       0.002942
VITA                                      0.015928       0.007316
TG                                        0.015760       0.005055
FU_NF_FA                                  0.015666       0.008275
PESO                                      0.015357       0.003224
FA_BASE                                   0.015215       0.005224
ALTRO_CAA                                 0.014499       0.005528
BMI                                       0.014391       0.007044
PAS                                       0.014073       0.002813
HDL                                       0.013827       0.005779
ACEI                                      0.013617       0.005497
DIURETICI                                 0.013526       0.003244
ACIDO_NICOTINICO                          0.013186       0.004260
CT                                        0.012968       0.006606
IRC                                       0.012919       0.002333
PAD                                       0.012238       0.006296
FIBRATI                                   0.011980       0.002695
ATT_FIS_H_SETT                            0.011658       0.006754
GLICEMIA                                  0.011426       0.004101
FAM_IPERT                                 0.011396       0.002458
FAM_CV                                    0.011338       0.002246
PCR                                       0.011255       0.004866
ALLOPURINOLO                              0.010882       0.003836
CBV_BASE                                  0.010828       0.004101
HB                                        0.010565       0.003339
ALB_CAT                                   0.010492       0.001899
NORMOMICROMACRO                           0.010155       0.003263
IPERTESO                                  0.009799       0.002031
MENOPAUSA                                 0.009739       0.004635
IMA_BASE                                  0.009206       0.002953
ANNI_MENOP                                0.008952       0.003877
ETANOLO_G_DIE                             0.008869       0.003619
HF_BASE                                   0.008136       0.003037
ATT_FIS                                   0.006949       0.004022

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.465407       0.120102
RESINE                                    0.089523       0.070562
SESSO                                     0.071361       0.012642
INDAPAMIDE                                0.060367       0.015385
HCTZ                                      0.056985       0.005779
INS_CARD                                  0.055732       0.013228
CLORTALIDONE                              0.054381       0.010711
AZOTEMIA                                  0.044052       0.022459
EXFUMO                                    0.043402       0.015081
PLACCA                                    0.041529       0.022892
FUMO_ATT                                  0.040258       0.009634
STATINA                                   0.037254       0.016920
SARTANI                                   0.033753       0.004783
IMT                                       0.030724       0.027517
CREATININA                                0.029954       0.011500
ALCOOL                                    0.029498       0.005530
HT                                        0.029068       0.010255
OMEGA_3                                   0.022986       0.010109
DIABETE                                   0.022594       0.010837
DELL_ANSA                                 0.019908       0.006754
BETABLOCCANTI                             0.016886       0.010654
IRC                                       0.016857       0.010601
FC                                        0.016066       0.010654
BMI                                       0.015557       0.007525
EZETEMIBE                                 0.014992       0.003101
CAA_DIID                                  0.014260       0.005838
GLICEMIA                                  0.014066       0.005740
CT                                        0.013319       0.008269
URICEMIA                                  0.013312       0.008201
ACEI                                      0.013010       0.006163
ETANOLO_G_DIE                             0.012888       0.003323
GOTTA                                     0.012734       0.002823
FAM_IPERT                                 0.012648       0.005504
HB                                        0.012128       0.005265
NF_FA                                     0.011892       0.006523
ALTRO_CAA                                 0.011526       0.003228
NORMOMICROMACRO                           0.011309       0.002457
HDL                                       0.011274       0.008712
FIBRATI                                   0.011259       0.004768
PAS                                       0.011105       0.004351
VITA                                      0.011070       0.004415
PAD                                       0.011026       0.004242
PESO                                      0.010839       0.005620
ATT_FIS                                   0.010767       0.004342
MENOPAUSA                                 0.010539       0.002948
IMA_BASE                                  0.010451       0.006451
ALTEZZA                                   0.010383       0.002400
ATT_FIS_H_SETT                            0.010357       0.002056
TG                                        0.010175       0.002756
DIURETICI                                 0.010028       0.006473
ALB_CAT                                   0.009172       0.003043
FA_BASE                                   0.008797       0.004324
CBV_BASE                                  0.008562       0.004272
FU_NF_FA                                  0.008551       0.003519
PCR                                       0.008208       0.005177
ACIDO_NICOTINICO                          0.008137       0.002728
IPERTESO                                  0.007693       0.005580
HF_BASE                                   0.007299       0.002178
FAM_CV                                    0.007233       0.004469
ALLOPURINOLO                              0.006793       0.001591
ANNI_MENOP                                0.005205       0.001713

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                      17.062209       2.044143
SESSO                                     2.892923       0.644808
AZOTEMIA                                  1.782515       0.392894
RESINE                                    1.707239       0.842623
ALCOOL                                    1.705332       0.593115
INDAPAMIDE                                1.285861       0.587991
