SHAP — HURRAH | tabpfn | preprocess: NaN | seed: 42
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       1.066548       0.102716
HCTZ                                      0.114719       0.039294
FUMO_ATT                                  0.097340       0.035930
ALCOOL                                    0.089287       0.032903
INS_CARD                                  0.061213       0.015195
FAM_CV                                    0.060623       0.008050
SARTANI                                   0.049705       0.011835
URICEMIA                                  0.048607       0.018567
GLICEMIA                                  0.047089       0.016371
PLACCA                                    0.038255       0.012012
STATINA                                   0.035559       0.018882
PAS                                       0.035175       0.016962
PCR                                       0.034106       0.006038
HT                                        0.031251       0.011307
AZOTEMIA                                  0.031060       0.004956
EZETEMIBE                                 0.030908       0.017823
SESSO                                     0.030348       0.006023
RESINE                                    0.030016       0.012070
MENOPAUSA                                 0.029159       0.014806
FC                                        0.028425       0.007815
ETANOLO_G_DIE                             0.026322       0.005516
INDAPAMIDE                                0.025533       0.013057
IMT                                       0.024055       0.007231
IRC                                       0.023460       0.014445
ATT_FIS_H_SETT                            0.022750       0.010548
CREATININA                                0.020442       0.007874
HB                                        0.020056       0.005009
ANNI_MENOP                                0.019202       0.012246
DIABETE                                   0.018979       0.007229
BMI                                       0.018485       0.011293
ALTEZZA                                   0.018449       0.007786
OMEGA_3                                   0.017213       0.007353
TG                                        0.015297       0.003105
VITA                                      0.014430       0.002268
DELL_ANSA                                 0.013649       0.006526
FAM_IPERT                                 0.013563       0.006072
EXFUMO                                    0.013340       0.003109
NORMOMICROMACRO                           0.013192       0.005253
CT                                        0.012918       0.006794
CAA_DIID                                  0.012159       0.007916
ATT_FIS                                   0.012147       0.005147
IPERTESO                                  0.012111       0.003815
HDL                                       0.012049       0.002371
ALLOPURINOLO                              0.010726       0.004920
ACEI                                      0.010649       0.003868
FIBRATI                                   0.010615       0.002628
FA_BASE                                   0.010403       0.005714
GOTTA                                     0.009689       0.003544
PAD                                       0.009563       0.001702
FU_NF_FA                                  0.009331       0.006214
NF_FA                                     0.009273       0.003137
PESO                                      0.008990       0.001090
BETABLOCCANTI                             0.008586       0.003247
CLORTALIDONE                              0.008534       0.002239
ALB_CAT                                   0.008445       0.000774
HF_BASE                                   0.007579       0.001829
ALTRO_CAA                                 0.007423       0.003607
IMA_BASE                                  0.006921       0.002930
DIURETICI                                 0.006702       0.001549
ACIDO_NICOTINICO                          0.006113       0.005701
CBV_BASE                                  0.005393       0.002425

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       1.534220       0.503668
ALCOOL                                    0.277259       0.225233
HCTZ                                      0.266770       0.103366
URICEMIA                                  0.227741       0.168600
EZETEMIBE                                 0.205693       0.157659
FUMO_ATT                                  0.184429       0.070185
STATINA                                   0.175066       0.060241
HT                                        0.172171       0.101107
RESINE                                    0.166371       0.102124
SARTANI                                   0.135397       0.040891
FAM_CV                                    0.133276       0.029215
PAS                                       0.117222       0.062757
INS_CARD                                  0.115136       0.073558
GLICEMIA                                  0.111041       0.049966
IMT                                       0.110057       0.077528
AZOTEMIA                                  0.101082       0.037045
ANNI_MENOP                                0.097754       0.063070
PCR                                       0.093026       0.039479
ETANOLO_G_DIE                             0.089920       0.028457
PLACCA                                    0.088674       0.042165
SESSO                                     0.082403       0.045331
NORMOMICROMACRO                           0.081841       0.047083
ATT_FIS_H_SETT                            0.079997       0.028132
ATT_FIS                                   0.078375       0.037342
BMI                                       0.073386       0.055758
VITA                                      0.072523       0.057482
CREATININA                                0.072381       0.039924
TG                                        0.072305       0.040618
MENOPAUSA                                 0.071829       0.032156
HB                                        0.070480       0.034662
DIURETICI                                 0.064878       0.069202
FC                                        0.063231       0.032260
IRC                                       0.058997       0.020014
ACEI                                      0.057819       0.033420
FA_BASE                                   0.057557       0.018603
NF_FA                                     0.056828       0.030289
CT                                        0.056471       0.025736
INDAPAMIDE                                0.054045       0.036914
EXFUMO                                    0.052873       0.034999
FAM_IPERT                                 0.050897       0.015471
ALTEZZA                                   0.047727       0.022813
GOTTA                                     0.043466       0.020460
OMEGA_3                                   0.041029       0.025841
BETABLOCCANTI                             0.040846       0.014847
DELL_ANSA                                 0.040779       0.032395
DIABETE                                   0.039942       0.020338
CAA_DIID                                  0.037831       0.024029
ALTRO_CAA                                 0.035891       0.019897
PAD                                       0.033451       0.011591
CLORTALIDONE                              0.030696       0.014624
ALLOPURINOLO                              0.030147       0.003701
CBV_BASE                                  0.029672       0.008947
IMA_BASE                                  0.029024       0.015431
IPERTESO                                  0.027811       0.011002
HDL                                       0.027698       0.008655
FU_NF_FA                                  0.025736       0.016629
FIBRATI                                   0.024755       0.017235
ACIDO_NICOTINICO                          0.023180       0.013116
PESO                                      0.022340       0.013000
ALB_CAT                                   0.021967       0.007935
HF_BASE                                   0.016401       0.005272

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                      18.841636       3.017545
ALCOOL                                    1.294243       0.540024
URICEMIA                                  1.180709       0.558359
GLICEMIA                                  1.131488       0.570080
FUMO_ATT                                  1.064208       0.368466
FAM_CV                                    1.023362       0.212355
