SHAP — HURRAH | tabpfn | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       1.208232       0.206515
ACIDO_NICOTINICO                          0.239501       0.036485
AZOTEMIA                                  0.156845       0.035872
FUMO_ATT                                  0.124019       0.028747
SESSO                                     0.120399       0.035902
STATINA                                   0.083937       0.013037
HCTZ                                      0.069300       0.013947
INS_CARD                                  0.053559       0.019270
OMEGA_3                                   0.039534       0.020992
RESINE                                    0.038975       0.011981
FAM_CV                                    0.038564       0.010511
SARTANI                                   0.035765       0.007425
ATT_FIS_H_SETT                            0.035439       0.013938
IMT                                       0.034031       0.011319
FAM_IPERT                                 0.033940       0.014597
CREATININA                                0.033383       0.009570
PAD                                       0.032767       0.009527
CLORTALIDONE                              0.031762       0.013918
DIABETE                                   0.031230       0.004598
PESO                                      0.030234       0.011127
INDAPAMIDE                                0.029758       0.009190
URICEMIA                                  0.029515       0.010240
ETANOLO_G_DIE                             0.028631       0.008254
HDL                                       0.028512       0.010311
PAS                                       0.027524       0.006321
HT                                        0.024120       0.009139
CT                                        0.023357       0.015261
GLICEMIA                                  0.022729       0.004776
ALCOOL                                    0.022286       0.006120
NORMOMICROMACRO                           0.022121       0.008393
FU_NF_FA                                  0.021905       0.005551
ALTRO_CAA                                 0.021429       0.007636
DELL_ANSA                                 0.021106       0.004720
ALTEZZA                                   0.020217       0.005623
BMI                                       0.019111       0.003493
EZETEMIBE                                 0.019068       0.005579
VITA                                      0.018728       0.004405
TG                                        0.017906       0.008755
FA_BASE                                   0.017395       0.004846
ACEI                                      0.017228       0.005068
FIBRATI                                   0.016681       0.009596
PLACCA                                    0.016591       0.001548
ATT_FIS                                   0.016260       0.005754
HB                                        0.015685       0.005646
GOTTA                                     0.015019       0.007550
EXFUMO                                    0.014169       0.005569
CBV_BASE                                  0.014144       0.007050
DIURETICI                                 0.012996       0.003850
NF_FA                                     0.012836       0.006926
IPERTESO                                  0.012832       0.005134
IRC                                       0.011794       0.006199
BETABLOCCANTI                             0.011562       0.004355
ALB_CAT                                   0.011489       0.003772
ALLOPURINOLO                              0.011327       0.003862
FC                                        0.010963       0.005155
MENOPAUSA                                 0.009780       0.003271
PCR                                       0.009519       0.005185
HF_BASE                                   0.008780       0.003424
CAA_DIID                                  0.007787       0.002876
ANNI_MENOP                                0.007532       0.003876
IMA_BASE                                  0.005784       0.001115

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.643128       0.138919
ACIDO_NICOTINICO                          0.126940       0.023476
AZOTEMIA                                  0.099211       0.042817
HCTZ                                      0.061255       0.016295
SESSO                                     0.053368       0.026082
STATINA                                   0.048563       0.015333
ATT_FIS_H_SETT                            0.035487       0.013808
INS_CARD                                  0.033523       0.017000
INDAPAMIDE                                0.033113       0.009665
FAM_IPERT                                 0.031072       0.024860
GLICEMIA                                  0.025358       0.019676
NORMOMICROMACRO                           0.024485       0.017204
OMEGA_3                                   0.024205       0.009294
FAM_CV                                    0.023879       0.004785
CREATININA                                0.023283       0.011143
URICEMIA                                  0.022553       0.013796
GOTTA                                     0.021804       0.008367
ACEI                                      0.021764       0.011101
FUMO_ATT                                  0.021361       0.010396
ETANOLO_G_DIE                             0.021194       0.005787
RESINE                                    0.020116       0.009435
SARTANI                                   0.019898       0.005407
ALCOOL                                    0.019886       0.006655
EXFUMO                                    0.019547       0.007429
CT                                        0.019048       0.012629
PAD                                       0.018878       0.011508
DIABETE                                   0.018227       0.009307
ALLOPURINOLO                              0.017294       0.007374
CLORTALIDONE                              0.016600       0.007570
HT                                        0.015966       0.007282
IRC                                       0.015929       0.008106
HDL                                       0.015779       0.009126
HB                                        0.015039       0.008111
IMT                                       0.015036       0.002552
BMI                                       0.014990       0.004829
PESO                                      0.014644       0.005550
PLACCA                                    0.014336       0.003892
CBV_BASE                                  0.014108       0.015230
ALTEZZA                                   0.013834       0.007151
TG                                        0.013459       0.008526
PAS                                       0.013203       0.004869
ATT_FIS                                   0.011927       0.004046
ALTRO_CAA                                 0.011765       0.004873
DELL_ANSA                                 0.011705       0.005072
BETABLOCCANTI                             0.011050       0.002689
VITA                                      0.010717       0.003663
FC                                        0.010442       0.003515
FIBRATI                                   0.009580       0.002478
FU_NF_FA                                  0.009445       0.003361
EZETEMIBE                                 0.009423       0.006354
FA_BASE                                   0.009272       0.004141
DIURETICI                                 0.009214       0.003957
NF_FA                                     0.008687       0.003062
IPERTESO                                  0.008528       0.002141
HF_BASE                                   0.007967       0.003619
IMA_BASE                                  0.007500       0.004691
ALB_CAT                                   0.007493       0.003718
ANNI_MENOP                                0.007361       0.003199
CAA_DIID                                  0.007323       0.003230
PCR                                       0.006916       0.003452
MENOPAUSA                                 0.005626       0.003307

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                      18.232220       1.379762
AZOTEMIA                                  3.570638       0.744524
ACIDO_NICOTINICO                          2.881269       0.763490
SESSO                                     1.941481       0.200398
INS_CARD                                  1.327694       0.457462
